timestamp,temperature,humidity,wind_speed,pressure,solar_irradiance
1701023400000,20.37,72.18,1.8,100.75,2.5015
1701109800000,20.18,68.36,1.69,100.74,3.919
1701196200000,20.61,65.64,1.68,100.77,4.2667
1701282600000,21.57,59.52,1.56,100.81,4.1683
1701369000000,22.96,66.85,2.43,100.79,3.3554
1701455400000,23.93,66.85,2.92,100.79,3.3682
1701541800000,23.71,74.59,2.51,100.87,3.0144
1701628200000,23.11,69.38,2.39,100.84,3.5518
1701714600000,21.32,60.26,2.57,100.8,4.2914
1701801000000,21.92,58.61,2.62,100.82,3.8489
1701887400000,21.4,62.0,2.19,100.87,3.5909
1701973800000,21.68,63.72,1.66,100.88,3.8388
1702060200000,21.29,55.21,1.32,101.0,4.2886
1702146600000,20.53,48.94,1.54,100.88,4.4093
1702233000000,20.03,52.62,1.37,100.85,4.4556
1702319400000,19.91,46.42,1.34,100.75,4.2912
1702405800000,20.33,49.14,1.67,100.87,4.3157
1702492200000,21.16,55.74,1.93,100.96,4.3142
1702578600000,21.91,57.21,1.64,101.01,3.823
1702665000000,21.29,54.07,1.71,101.0,3.7159
1702751400000,20.25,47.99,1.87,101.04,4.3289
1702837800000,20.45,47.62,2.63,101.22,4.374
1702924200000,19.44,46.06,3.02,101.31,4.248
1703010600000,18.2,41.85,2.67,101.24,3.5906
1703097000000,18.95,42.11,2.39,101.07,3.5662
1703183400000,20.56,41.8,2.07,100.94,3.7639
1703269800000,20.8,43.62,1.8,101.04,4.3423
1703356200000,21.48,44.25,1.75,101.19,4.3416
1703442600000,21.34,47.68,1.72,101.15,4.0603
1703529000000,20.83,48.51,1.58,101.1,3.9432
1703615400000,21.09,51.91,1.37,101.15,3.5023
1703701800000,21.9,52.67,1.87,101.01,3.5683
1703788200000,21.98,55.02,1.55,100.96,3.4774
1703874600000,21.83,57.99,1.64,100.91,3.6358
1703961000000,21.36,50.4,1.67,100.9,3.7248
1704047400000,20.36,51.12,1.41,100.93,3.5275
1704133800000,19.6,55.34,1.75,100.87,3.33
1704220200000,19.34,48.51,1.86,100.85,4.0056
1704306600000,19.12,52.06,2.36,100.88,4.1381
1704393000000,18.38,46.87,2.24,100.95,4.3733
1704479400000,18.78,49.4,2.56,101.02,4.3968
1704565800000,19.9,50.02,2.39,101.01,3.6864
1704652200000,21.57,58.81,1.99,101.01,2.9014
1704738600000,22.37,45.23,2.6,101.05,3.4824
1704825000000,21.71,56.42,2.16,101.03,3.9324
1704911400000,21.9,49.76,1.39,101.08,4.4657
1704997800000,22.15,41.87,1.63,100.99,4.5605
1705084200000,21.61,36.41,1.76,101.0,4.8091
1705170600000,18.8,30.51,1.81,101.08,4.9483
1705257000000,18.46,31.74,1.45,100.99,4.8982
1705343400000,18.42,35.55,1.45,100.76,4.8367
1705429800000,19.74,39.06,1.2,100.68,4.5545
1705516200000,19.32,34.47,1.78,100.86,4.5319
1705602600000,19.03,38.38,1.93,100.94,4.6838
1705689000000,18.74,34.78,2.15,101.06,4.6656
1705775400000,19.44,34.58,2.03,101.14,4.8564
1705861800000,19.82,34.56,1.85,101.14,4.8266
1705948200000,19.77,35.0,1.71,101.12,4.9925
1706034600000,19.03,35.49,1.53,101.12,5.0604
1706121000000,19.71,31.9,1.74,101.21,4.6992
1706207400000,19.86,31.23,1.67,101.3,4.9207
1706293800000,21.19,29.01,1.64,101.24,4.4482
1706380200000,21.32,29.41,1.58,101.1,4.5456
1706466600000,20.87,38.8,1.59,101.14,4.2394
1706553000000,21.86,38.13,1.25,100.99,4.3481
1706639400000,22.06,49.2,1.37,100.92,3.6629
1706725800000,23.75,53.33,1.32,100.95,4.6567
1706812200000,24.0,40.94,0.93,101.09,5.1005
1706898600000,24.81,33.63,1.29,101.06,4.7894
1706985000000,25.21,40.86,1.85,101.05,4.908
1707071400000,23.79,50.94,1.85,101.09,4.8024
1707157800000,23.77,35.66,1.5,101.11,4.8811
1707244200000,23.66,35.01,2.26,101.29,4.5924
1707330600000,21.57,27.37,2.58,101.32,5.1446
1707417000000,20.76,19.66,1.94,101.17,5.423
1707503400000,21.07,19.93,1.95,101.23,5.73
1707589800000,21.37,20.7,1.99,101.21,5.2246
1707676200000,21.64,20.91,1.85,101.1,4.4923
1707762600000,21.81,17.62,1.98,101.1,4.1086
1707849000000,22.05,17.9,2.47,101.11,4.9829
1707935400000,23.13,26.57,2.46,101.05,4.8492
1708021800000,24.89,30.81,2.49,101.05,5.13
1708108200000,26.09,23.36,1.84,100.8,5.4972
1708194600000,25.66,20.77,1.89,100.62,5.8807
1708281000000,25.8,34.75,2.64,100.62,5.574
1708367400000,26.45,47.87,2.37,100.65,5.6945
1708453800000,24.55,52.68,2.95,100.62,5.7754
1708540200000,23.9,48.63,2.45,100.76,5.6498
1708626600000,22.33,16.83,1.78,100.88,6.4056
1708713000000,21.45,11.38,2.17,100.87,6.4714
1708799400000,22.36,10.66,2.17,100.81,5.9618
1708885800000,24.07,22.1,2.16,100.67,4.0471
1708972200000,26.57,25.42,1.89,100.75,4.9742
1709058600000,26.46,25.69,1.96,100.75,5.8284
1709145000000,28.69,22.67,1.67,100.62,6.0838
1709231400000,28.8,30.91,2.67,100.55,5.4245
1709317800000,25.3,52.92,3.16,100.59,3.6238
1709404200000,19.04,24.33,2.97,100.85,6.5563
1709490600000,19.01,18.31,1.7,101.0,6.6485
1709577000000,20.51,15.11,2.12,100.93,6.6797
1709663400000,22.98,18.39,2.14,100.84,6.4176
1709749800000,24.18,27.03,2.18,100.82,6.4097
1709836200000,24.41,22.77,2.52,100.9,6.4634
1709922600000,24.33,17.01,1.98,100.82,6.7152
1710009000000,26.06,21.17,2.06,100.81,6.2866
1710095400000,27.48,22.41,2.14,100.95,6.359
1710181800000,27.33,31.12,2.4,100.88,6.5285
1710268200000,26.86,35.0,3.04,100.73,6.3905
1710354600000,26.17,29.42,2.04,100.78,6.3336
1710441000000,26.48,18.69,1.2,100.68,6.5906
1710527400000,27.37,21.68,1.62,100.63,6.5834
1710613800000,27.88,21.28,2.3,100.61,6.4015
1710700200000,27.39,19.8,2.25,100.64,6.6506
1710786600000,28.85,13.61,2.0,100.63,6.4483
1710873000000,29.12,19.16,1.74,100.57,6.8119
1710959400000,29.41,13.85,1.59,100.44,5.8164
1711045800000,29.51,19.76,1.95,100.33,6.9732
1711132200000,29.42,24.82,1.68,100.34,6.8861
1711218600000,30.64,34.39,2.18,100.46,6.6542
1711305000000,31.08,34.79,1.54,100.57,6.4514
1711391400000,33.02,25.55,1.4,100.5,6.3991
1711477800000,33.27,27.39,1.71,100.63,6.623
1711564200000,33.06,27.26,2.73,100.5,6.5789
1711650600000,31.89,22.33,2.82,100.44,6.2448
1711737000000,30.37,30.67,2.58,100.63,6.7814
1711823400000,29.3,25.42,2.4,100.72,7.1983
1711909800000,30.57,21.5,2.25,100.39,6.6775
1711996200000,29.68,21.43,2.33,100.29,5.3978
1712082600000,29.98,34.95,2.43,100.37,6.5522
1712169000000,29.94,36.24,2.09,100.45,4.0284
1712255400000,31.09,28.37,3.09,100.43,4.4263
1712341800000,30.9,28.08,2.82,100.32,6.5918
1712428200000,31.11,27.92,2.08,100.21,6.9391
1712514600000,32.98,22.89,1.23,100.24,7.1422
1712601000000,33.75,15.76,1.05,100.22,6.7226
1712687400000,33.09,16.78,1.36,100.23,5.7852
1712773800000,33.12,21.17,1.78,100.31,5.665
1712860200000,31.75,26.13,2.57,100.28,6.341
1712946600000,30.98,35.83,1.66,100.35,6.6876
1713033000000,33.2,37.34,1.89,100.45,5.9748
1713119400000,34.77,30.99,2.75,100.53,6.7236
1713205800000,34.82,25.32,3.62,100.46,7.2574
1713292200000,36.4,22.11,2.33,100.22,6.4733
1713378600000,34.84,23.61,2.8,100.19,6.9586
1713465000000,33.27,31.63,4.02,100.07,7.0457
1713551400000,31.58,32.18,3.14,100.14,7.3421
1713637800000,30.72,34.59,2.49,100.2,6.5263
1713724200000,31.88,33.82,2.36,100.23,7.3685
1713810600000,32.45,31.67,2.48,100.12,7.295
1713897000000,33.68,26.01,1.38,100.0,7.3627
1713983400000,34.35,29.2,2.18,100.03,7.2883
1714069800000,33.24,29.51,3.08,100.11,7.3886
1714156200000,33.93,25.92,2.35,100.15,6.5357
1714242600000,34.47,18.69,2.7,100.17,7.6162
1714329000000,33.94,23.78,3.34,100.23,7.2353
1714415400000,33.11,9.34,2.9,100.12,7.3656
1714501800000,32.2,10.19,3.06,99.9,8.0568
1714588200000,32.16,11.73,1.66,99.96,7.8658
1714674600000,32.98,15.47,2.13,100.07,7.8898
1714761000000,33.84,34.52,3.26,100.16,6.2254
1714847400000,32.85,33.5,3.74,100.04,5.3712
1714933800000,33.99,40.06,2.47,100.01,7.291
1715020200000,35.76,34.97,2.38,100.03,7.5041
1715106600000,36.51,26.39,2.98,100.0,7.2778
1715193000000,36.11,32.42,3.05,99.99,7.4369
1715279400000,35.78,33.41,3.43,100.12,7.3714
1715365800000,35.16,37.06,2.45,100.3,7.1789
1715452200000,35.81,36.74,2.27,100.27,7.147
1715538600000,36.55,31.54,2.27,100.24,6.594
1715625000000,36.07,34.14,1.04,100.31,6.3571
1715711400000,37.38,27.16,1.18,100.26,6.42
1715797800000,37.66,25.64,1.48,100.19,7.0591
1715884200000,38.33,23.52,3.61,99.98,7.2521
1715970600000,38.19,21.14,3.0,99.79,7.2146
1716057000000,38.61,20.25,4.08,99.62,6.8522
1716143400000,38.3,23.21,4.46,99.67,7.1477
1716229800000,38.48,24.34,3.44,99.69,7.4503
1716316200000,38.88,28.59,3.1,99.57,7.0927
1716402600000,38.73,26.16,4.08,99.42,7.5206
1716489000000,38.17,30.44,4.38,99.39,7.356
1716575400000,37.74,33.3,3.52,99.43,7.4868
1716661800000,38.14,34.73,4.41,99.51,7.1386
1716748200000,37.73,35.81,5.56,99.4,7.3308
1716834600000,36.36,43.22,5.77,99.42,6.8004
1716921000000,35.74,48.89,5.43,99.47,6.3197
1717007400000,36.62,42.44,3.67,99.65,7.2871
1717093800000,36.4,42.26,3.96,99.79,7.7018
